numero_de_cliente,Predicted
45290253,1
14625105,1
40209565,1
25785584,1
16127860,1
23344064,1
56505767,1
28495930,1
31749244,1
19474872,1
43594776,1
32846565,1
42516889,1
22668370,1
51470975,1
5365882,1
15340517,1
30179871,1
21905695,1
8361991,1
20313721,1
23495049,1
43690340,1
32379416,1
15373187,1
43727348,1
26823136,1
18869547,1
46861388,1
42997160,1
30602465,1
45541800,1
46098833,1
43038061,1
37567272,1
26189577,1
6949157,1
23040061,1
33684512,1
37003740,1
20938700,1
29366186,1
18350386,1
42121335,1
35331866,1
32511749,1
18764674,1
33538328,1
29251222,1
23355769,1
38286810,1
24920763,1
37049469,1
29064659,1
33411486,1
36915411,1
33962207,1
13832179,1
32039675,1
35420512,1
36789904,1
20969654,1
8525549,1
40207099,1
29544949,1
7769377,1
5252838,1
13147095,1
46230685,1
21856953,1
32305705,1
28300834,1
30097555,1
20684624,1
46953987,1
52398115,1
33346160,1
31696192,1
46727481,1
44410098,1
56658750,1
20259796,1
55795500,1
46968202,1
22121771,1
7267498,1
19210023,1
12503581,1
18973311,1
36604544,1
31382331,1
51970209,1
24483856,1
47665589,1
43088116,1
51052537,1
33685869,1
27628298,1
45476769,1
40886048,1
51068301,1
17425080,1
19627264,1
31184464,1
50076780,1
26889596,1
47026884,1
20000187,1
19718939,1
39208821,1
26160112,1
56669051,1
29386974,1
22975360,1
46965476,1
26392379,1
46425389,1
57913040,1
20773462,1
45551401,1
43913519,1
8353389,1
8760750,1
31768348,1
35129551,1
8300884,1
50990745,1
47304428,1
5222660,1
39741057,1
40995092,1
57093898,1
47367599,1
13223898,1
42408602,1
31812594,1
33351610,1
5056260,1
32584414,1
21176035,1
21781319,1
29820036,1
32382102,1
5583089,1
19959265,1
19614657,1
35481110,1
15339616,1
33291892,1
35904396,1
50380170,1
44331687,1
39170757,1
22635622,1
23950938,1
31754795,1
31391319,1
53811738,1
48728233,1
24991163,1
18436547,1
15701775,1
46566163,1
39747057,1
12635031,1
49618698,1
4718165,1
29585940,1
20678269,1
40073626,1
39240849,1
43602033,1
15814131,1
29322106,1
53532441,1
50805369,1
46615282,1
30244760,1
30627959,1
21843353,1
29615748,1
8977696,1
4674434,1
36509514,1
31852744,1
51880689,1
21044198,1
35997987,1
25377730,1
29281906,1
19307183,1
26789772,1
40697200,1
20609150,1
45249198,1
20454248,1
27222266,1
41127306,1
23609601,1
46267363,1
40825663,1
46880656,1
46975739,1
12469686,1
32809412,1
5195197,1
39206204,1
17087837,1
9147829,1
45813268,1
51006157,1
53443556,1
15601298,1
42872788,1
26693495,1
43107933,1
56625860,1
8622228,1
20289016,1
35307682,1
